,pixel_frac
2024-02-22 17:00:00,0.08672737630208334
2024-02-22 23:00:00,0.08422867838541666
2024-02-23 23:00:00,0.0832330322265625
2024-02-24 05:00:00,0.08636250813802084
2024-02-24 11:00:00,0.09375467936197916
2024-02-24 17:00:00,0.08005472819010416
2024-02-24 23:00:00,0.07164652506510416
2024-02-25 23:00:00,0.06374796549479167
2024-02-26 05:00:00,0.05657430013020833
2024-02-26 11:00:00,0.06903767903645833
2024-02-26 17:00:00,0.07068359375
2024-02-27 05:00:00,0.07473429361979167
2024-02-27 11:00:00,0.08077311197916667
2024-02-27 17:00:00,0.08309855143229167
2024-03-05 23:00:00,0.08861083984375
2024-03-06 05:00:00,0.09312662760416666
2024-03-06 11:00:00,0.09662211100260416
2024-03-06 17:00:00,0.09493245442708333
2024-03-06 23:00:00,0.09688334147135416
2024-03-07 05:00:00,0.0985296630859375
2024-03-07 11:00:00,0.10004659016927084
2024-03-07 17:00:00,0.10035054524739584
2024-03-07 23:00:00,0.09699462890625
2024-03-08 05:00:00,0.09269775390625
2024-03-08 11:00:00,0.08757059733072917
2024-03-08 17:00:00,0.08488993326822916
2024-03-08 23:00:00,0.08419677734375
2024-03-09 05:00:00,0.08450846354166666
2024-03-09 11:00:00,0.08541971842447917
2024-03-09 17:00:00,0.0884210205078125
2024-03-09 23:00:00,0.09592427571614583
2024-03-10 05:00:00,0.102352294921875
2024-03-10 11:00:00,0.10904703776041667
2024-03-10 17:00:00,0.09662862141927084
2024-03-10 23:00:00,0.07386800130208333
2024-03-11 05:00:00,0.05287699381510417
2024-03-11 17:00:00,0.04372802734375
2024-03-11 23:00:00,0.052060139973958336
2024-03-13 05:00:00,0.06672200520833334
2024-03-13 11:00:00,0.0871588134765625
2024-03-13 17:00:00,0.08080952962239583
2024-03-14 05:00:00,0.0726171875
2024-03-14 11:00:00,0.06329793294270833
2024-03-14 17:00:00,0.03984273274739583
2024-03-15 23:00:00,0.03258076985677083
2024-03-17 05:00:00,0.034188028971354166
2024-03-17 23:00:00,0.037022908528645836
2024-03-18 05:00:00,0.04794331868489583
2024-03-18 11:00:00,0.0584600830078125
2024-03-18 17:00:00,0.061337483723958336
2024-03-18 23:00:00,0.06509379069010417
2024-03-19 05:00:00,0.06834513346354167
2024-03-19 11:00:00,0.070447998046875
2024-03-19 17:00:00,0.07196268717447916
2024-03-19 23:00:00,0.069512939453125
2024-03-20 05:00:00,0.06659383138020833
2024-03-20 11:00:00,0.06302164713541666
2024-03-20 17:00:00,0.05042561848958333
2024-03-20 23:00:00,0.041593017578125
2024-03-21 05:00:00,0.03384134928385417
2024-03-21 11:00:00,0.036955769856770834
2024-03-21 23:00:00,0.0492388916015625
2024-03-22 05:00:00,0.059524129231770834
2024-03-22 11:00:00,0.06833699544270834
2024-03-22 17:00:00,0.063831787109375
2024-03-22 23:00:00,0.06271870930989583
2024-03-23 05:00:00,0.06317281087239583
2024-03-23 11:00:00,0.06431396484375
2024-03-23 17:00:00,0.0710260009765625
2024-03-23 23:00:00,0.07103658040364583
2024-03-24 05:00:00,0.06966878255208334
2024-03-24 11:00:00,0.06856180826822916
2024-03-24 17:00:00,0.06290323893229166
2024-03-24 23:00:00,0.061044921875
2024-03-25 05:00:00,0.0598553466796875
2024-03-25 11:00:00,0.058764444986979164
2024-03-25 17:00:00,0.06275655110677084
2024-03-25 23:00:00,0.06770833333333333
2024-03-26 05:00:00,0.0719964599609375
2024-03-26 11:00:00,0.0755035400390625
2024-03-26 17:00:00,0.07255208333333334
2024-03-26 23:00:00,0.06685099283854166
2024-03-27 05:00:00,0.06117167154947917
2024-03-27 11:00:00,0.0552099609375
2024-03-27 17:00:00,0.0542071533203125
2024-03-27 23:00:00,0.0566558837890625
2024-03-28 05:00:00,0.059931437174479164
2024-03-28 11:00:00,0.0641668701171875
2024-03-28 17:00:00,0.065843505859375
2024-03-28 23:00:00,0.063909912109375
2024-03-29 05:00:00,0.065205078125
2024-03-29 11:00:00,0.06769388834635416
2024-03-29 17:00:00,0.07657755533854167
2024-03-29 23:00:00,0.088458251953125
2024-03-30 05:00:00,0.09424519856770833
2024-03-30 11:00:00,0.09904093424479167
2024-03-30 17:00:00,0.10009602864583333
2024-03-30 23:00:00,0.10231424967447916
2024-03-31 05:00:00,0.10602274576822916
2024-03-31 11:00:00,0.10888997395833333
2024-03-31 17:00:00,0.1097711181640625
2024-03-31 23:00:00,0.101290283203125
2024-04-01 05:00:00,0.09421610514322917
2024-04-01 11:00:00,0.08789571126302083
2024-04-01 17:00:00,0.08197509765625
2024-04-01 23:00:00,0.08966796875
2024-04-02 05:00:00,0.097471923828125
2024-04-02 11:00:00,0.10518452962239583
2024-04-02 17:00:00,0.10919759114583333
2024-04-02 23:00:00,0.10297200520833333
2024-04-03 05:00:00,0.09509867350260416
2024-04-03 11:00:00,0.08588155110677083
2024-04-03 17:00:00,0.0765618896484375
2024-04-03 23:00:00,0.0668328857421875
2024-04-04 05:00:00,0.058436686197916664
2024-04-04 11:00:00,0.051478068033854164
2024-04-04 17:00:00,0.05383219401041667
2024-04-04 23:00:00,0.058804931640625
2024-04-05 05:00:00,0.06285685221354166
2024-04-05 11:00:00,0.06615946451822917
2024-04-05 17:00:00,0.05310872395833333
2024-04-07 05:00:00,0.04065714518229167
2024-04-07 23:00:00,0.028578287760416668
2024-04-08 05:00:00,0.016446329752604166
2024-04-08 11:00:00,0.0157489013671875
2024-04-08 23:00:00,0.017022298177083332
2024-04-09 23:00:00,0.019981689453125
2024-04-10 23:00:00,0.023287353515625
2024-04-11 05:00:00,0.025368245442708333
2024-04-11 11:00:00,0.02533203125
2024-04-11 17:00:00,0.023254191080729167
2024-04-11 23:00:00,0.0231103515625
2024-04-13 11:00:00,0.024849650065104166
2024-04-14 05:00:00,0.029150390625
2024-04-14 11:00:00,0.0343505859375
2024-04-14 17:00:00,0.03866495768229167
2024-04-14 23:00:00,0.040844930013020836
2024-04-15 05:00:00,0.03911702473958333
2024-04-15 11:00:00,0.03733622233072917
2024-04-15 17:00:00,0.034366455078125
2024-04-15 23:00:00,0.0334759521484375
2024-04-16 05:00:00,0.03451456705729167
2024-04-16 11:00:00,0.038476359049479165
2024-04-16 17:00:00,0.040908406575520834
2024-04-17 05:00:00,0.04201944986979167
2024-04-17 11:00:00,0.044930826822916665
2024-04-17 17:00:00,0.04028462727864583
2024-04-18 05:00:00,0.037249755859375
2024-04-18 11:00:00,0.0342425537109375
2024-04-18 17:00:00,0.028739420572916667
2024-04-18 23:00:00,0.028040568033854168
2024-04-19 05:00:00,0.027591959635416666
2024-04-19 11:00:00,0.027160237630208334
2024-04-19 17:00:00,0.028057047526041667
2024-04-19 23:00:00,0.0288531494140625
2024-04-20 05:00:00,0.029574991861979167
2024-04-20 11:00:00,0.030862223307291665
2024-04-20 17:00:00,0.0319488525390625
2024-04-20 23:00:00,0.03268290201822917
2024-04-21 05:00:00,0.03304056803385417
2024-04-21 11:00:00,0.032602335611979165
2024-04-21 17:00:00,0.0315289306640625
2024-04-21 23:00:00,0.030079345703125
2024-04-22 05:00:00,0.029385172526041666
2024-04-22 11:00:00,0.0290478515625
2024-04-22 17:00:00,0.0264141845703125
2024-04-22 23:00:00,0.02423828125
