Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr,Rc,Rd,Ri,Hc,Hd,Hi
2025-01-10_134007,,,,,,,VPMI.2025.010.0R5.csv,,,,10.4,0.0,12.2,3.649,,,,,,
2025-01-10_140007,,,,,,,VPMI.2025.010.0R5.csv,,,,11.7,0.0,12.5,3.649,,,,,,
2025-01-11_030004,29.0,67.0,85.0,3.2,5.8,7.9,VPMI.2025.011.0R1.csv,,,,,,,,,,,,,
2025-01-11_030003,,,,,,,VPMI.2025.011.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-11_030007,,,,,,,VPMI.2025.011.0R5.csv,,,,11.9,0.0,12.4,3.649,,,,,,
2025-01-12_042002,16.0,48.0,88.0,2.4,4.0,5.3,VPMI.2025.012.0R1.csv,,,,,,,,,,,,,
2025-01-12_042002,,,,,,,VPMI.2025.012.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-12_042005,,,,,,,VPMI.2025.012.0R5.csv,,,,9.6,0.0,12.5,3.649,,,,,,
2025-01-13_182007,64.0,127.0,194.0,0.9,1.3,1.9,VPMI.2025.013.0R1.csv,,,,,,,,,,,,,
2025-01-13_182003,,,,,,,VPMI.2025.013.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-13_182004,,,,,,,VPMI.2025.013.0R5.csv,,,,27.4,0.0,14.6,3.647,,,,,,
2025-01-14_064006,50.0,58.0,77.0,5.3,7.2,9.6,VPMI.2025.014.0R1.csv,,,,,,,,,,,,,
2025-01-14_064002,,,,,,,VPMI.2025.014.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-14_064003,,,,,,,VPMI.2025.014.0R5.csv,,,,10.4,0.0,12.5,3.649,,,,,,
2025-01-15_074005,31.0,63.0,85.0,4.2,5.5,8.5,VPMI.2025.015.0R1.csv,,,,,,,,,,,,,
2025-01-15_212005,133.0,161.0,184.0,1.6,2.5,3.1,VPMI.2025.015.0R1.csv,,,,,,,,,,,,,
2025-01-15_074004,,,,,,,VPMI.2025.015.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-15_212004,,,,,,,VPMI.2025.015.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-15_074002,,,,,,,VPMI.2025.015.0R5.csv,,,,12.3,0.0,12.4,3.649,,,,,,
2025-01-15_212002,,,,,,,VPMI.2025.015.0R5.csv,,,,11.2,0.0,12.7,3.649,,,,,,
2025-01-16_094005,61.0,71.0,94.0,5.1,10.0,12.4,VPMI.2025.016.0R1.csv,,,,,,,,,,,,,
2025-01-16_232004,26.0,50.0,88.0,5.4,7.9,10.5,VPMI.2025.016.0R1.csv,,,,,,,,,,,,,
2025-01-16_094003,,,,,,,VPMI.2025.016.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-16_232003,,,,,,,VPMI.2025.016.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-16_094002,,,,,,,VPMI.2025.016.0R5.csv,,,,7.9,0.0,12.2,3.649,,,,,,
2025-01-16_232002,,,,,,,VPMI.2025.016.0R5.csv,,,,9.9,0.0,12.4,3.649,,,,,,
2025-01-17_120004,222.0,149.0,309.0,0.5,1.8,3.3,VPMI.2025.017.0R1.csv,,,,,,,,,,,,,
2025-01-17_122004,31.0,72.0,95.0,3.4,5.7,8.4,VPMI.2025.017.0R1.csv,,,,,,,,,,,,,
2025-01-17_120002,,,,,,,VPMI.2025.017.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-17_122003,,,,,,,VPMI.2025.017.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-17_120016,,,,,,,VPMI.2025.017.0R5.csv,,,,9.7,0.0,12.1,3.649,,,,,,
2025-01-17_122016,,,,,,,VPMI.2025.017.0R5.csv,,,,9.5,0.0,12.1,3.65,,,,,,
2025-01-18_014003,121.0,132.0,151.0,3.1,4.0,4.8,VPMI.2025.018.0R1.csv,,,,,,,,,,,,,
2025-01-18_160002,127.0,135.0,144.0,3.5,3.9,4.3,VPMI.2025.018.0R1.csv,,,,,,,,,,,,,
2025-01-18_014002,,,,,,,VPMI.2025.018.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-18_160002,,,,,,,VPMI.2025.018.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-18_014015,,,,,,,VPMI.2025.018.0R5.csv,,,,10.0,0.0,12.4,3.65,,,,,,
2025-01-18_160014,,,,,,,VPMI.2025.018.0R5.csv,,,,18.6,0.0,13.0,3.649,,,,,,
2025-01-19_184004,68.0,75.0,101.0,0.8,1.2,1.6,VPMI.2025.019.0R1.csv,,,,,,,,,,,,,
2025-01-19_184002,,,,,,,VPMI.2025.019.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-19_184013,,,,,,,VPMI.2025.019.0R5.csv,,,,20.4,0.0,13.4,3.649,,,,,,
2025-01-20_114003,78.0,136.0,195.0,0.5,1.3,2.0,VPMI.2025.020.0R1.csv,,,,,,,,,,,,,
2025-01-20_114003,,,,,,,VPMI.2025.020.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-20_114012,,,,,,,VPMI.2025.020.0R5.csv,,,,9.9,0.0,12.3,3.65,,,,,,
2025-01-21_164002,131.0,165.0,202.0,1.0,1.7,2.7,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_170002,29.0,42.0,59.0,5.6,6.6,7.1,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_172002,38.0,62.0,106.0,1.8,2.3,2.6,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_174002,79.0,25.0,322.0,0.5,1.0,1.7,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_180002,134.0,140.0,156.0,2.4,2.7,3.0,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_182038,143.0,170.0,209.0,1.0,1.2,1.5,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_184002,154.0,88.0,348.0,0.1,0.4,0.9,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_190002,4.0,47.0,62.0,1.4,1.8,2.2,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_192002,10.0,36.0,58.0,1.0,1.4,2.0,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_194002,109.0,120.0,132.0,1.2,1.4,1.7,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_200003,25.0,43.0,60.0,3.2,3.9,4.9,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_202002,16.0,32.0,46.0,1.6,2.5,3.0,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_204003,146.0,160.0,172.0,1.8,2.1,2.4,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
