event_id,label,station,sensor_type,t1,t2,energy,duration,magnitude
163752,Acoustic,VPVF,acoustic,2025-02-15 12:16:50.653,2025-02-15 12:16:57.605,4.835,6.952,0.45854564054074376
163753,Acoustic,VPVF,acoustic,2025-02-15 12:17:10.395,2025-02-15 12:17:18.090,41.468,7.695,1.0838677702084967
163754,Acoustic,VPVF,acoustic,2025-02-15 12:18:05.855,2025-02-15 12:18:10.445,26.275,4.59,0.9510936255491875
163755,Acoustic,VPVF,acoustic,2025-02-15 12:19:43.990,2025-02-15 12:19:49.458,13.38,5.468,0.7547255959993089
163756,Acoustic,VPVF,acoustic,2025-02-15 12:22:11.260,2025-02-15 12:22:18.078,21.344,6.818,0.8906147941984249
163757,Acoustic,VPVF,acoustic,2025-02-15 12:26:36.855,2025-02-15 12:26:44.550,127.224,7.695,1.410061260778482
163758,Acoustic,VPVF,acoustic,2025-02-15 12:30:09.395,2025-02-15 12:30:15.403,45.066,6.008,1.1080788382837807
163759,Acoustic,VPVF,acoustic,2025-02-15 19:04:21.260,2025-02-15 19:04:27.133,49.416,5.873,1.1348912841808572
163760,Acoustic,VPVF,acoustic,2025-02-15 21:15:47.395,2025-02-15 21:15:54.753,102.396,7.358,1.3468896044257768
163761,Acoustic,VPVF,acoustic,2025-02-15 21:35:40.855,2025-02-15 21:35:47.673,116.552,6.818,1.3845682192965885
163762,Acoustic,VPVF,acoustic,2025-02-15 21:52:33.530,2025-02-15 21:52:40.010,63.272,6.48,1.2068117468971444
163763,Acoustic,VPVF,acoustic,2025-02-15 22:23:08.800,2025-02-15 22:23:13.863,16.993,5.063,0.8242809384655072
163764,Acoustic,VPVF,acoustic,2025-02-15 23:44:50.395,2025-02-15 23:44:55.863,55.161,5.468,1.1668935276302614
163765,Acoustic,VPVF,acoustic,2025-02-16 03:15:24.665,2025-02-16 03:15:28.378,4.895,3.713,0.46213430641323494
163768,Acoustic,VPVF,acoustic,2025-02-15 07:53:41.260,2025-02-15 07:53:47.268,19.605,6.008,0.8658857872462711
163769,Acoustic,VPVF,acoustic,2025-02-15 08:10:04.058,2025-02-15 08:10:08.715,16.821,4.657,0.8213207132481652
163770,Acoustic,VPVF,acoustic,2025-02-15 08:15:09.395,2025-02-15 08:15:15.200,133.733,5.805,1.4245798533828824
163771,Acoustic,VPVF,acoustic,2025-02-15 08:38:38.530,2025-02-15 08:38:44.875,21.07,6.345,0.8868552388574272
163772,Acoustic,VPVF,acoustic,2025-02-15 09:31:07.788,2025-02-15 09:31:13.458,24.599,5.67,0.9319146931731986
